num_detectors,radius,TN,FP,FN,TP,ham_accuracy,spam_accuracy
100,0.2,100,0,96,4,1.0,0.04
600,0.2,88,12,98,2,0.88,0.02
1100,0.2,100,0,99,1,1.0,0.01
1600,0.2,100,0,92,8,1.0,0.08
2100,0.2,62,38,45,55,0.62,0.55
2600,0.2,22,78,0,100,0.22,1.0
3100,0.2,51,49,12,88,0.51,0.88
3600,0.2,0,100,0,100,0.0,1.0
4100,0.2,34,66,16,84,0.34,0.84
4600,0.2,93,7,90,10,0.93,0.1
5100,0.2,100,0,99,1,1.0,0.01
5600,0.2,63,37,50,50,0.63,0.5
6100,0.2,63,37,77,23,0.63,0.23
6600,0.2,17,83,18,82,0.17,0.82
7100,0.2,76,24,89,11,0.76,0.11
7600,0.2,78,22,86,14,0.78,0.14
8100,0.2,24,76,39,61,0.24,0.61
8600,0.2,25,75,30,70,0.25,0.7
9100,0.2,22,78,28,72,0.22,0.72
9600,0.2,22,78,13,87,0.22,0.87
