num_detectors,radius,TN,FP,FN,TP,ham_accuracy,spam_accuracy
100,0.1,100,0,96,4,1.0,0.04
100,0.2,100,0,96,4,1.0,0.04
1100,0.1,100,0,99,1,1.0,0.01
1100,0.2,100,0,99,1,1.0,0.01
2100,0.1,62,38,45,55,0.62,0.55
2100,0.2,62,38,45,55,0.62,0.55
3100,0.1,51,49,12,88,0.51,0.88
3100,0.2,51,49,12,88,0.51,0.88
4100,0.1,34,66,16,84,0.34,0.84
4100,0.2,34,66,16,84,0.34,0.84
5100,0.1,100,0,99,1,1.0,0.01
5100,0.2,100,0,99,1,1.0,0.01
6100,0.1,63,37,77,23,0.63,0.23
6100,0.2,63,37,77,23,0.63,0.23
7100,0.1,76,24,89,11,0.76,0.11
7100,0.2,76,24,89,11,0.76,0.11
8100,0.1,24,76,39,61,0.24,0.61
8100,0.2,24,76,39,61,0.24,0.61
9100,0.1,22,78,28,72,0.22,0.72
9100,0.2,22,78,28,72,0.22,0.72
