num_detectors,radius,TN,FP,FN,TP,ham_accuracy,spam_accuracy
100,0.05,100,0,96,4,1.0,0.04
100,0.1,100,0,96,4,1.0,0.04
100,0.15,100,0,96,4,1.0,0.04
100,0.2,100,0,96,4,1.0,0.04
100,0.25,100,0,96,4,1.0,0.04
100,0.3,100,0,96,4,1.0,0.04
100,0.35,100,0,96,4,1.0,0.04
100,0.4,100,0,96,4,1.0,0.04
100,0.45,100,0,96,4,1.0,0.04
600,0.05,88,12,98,2,0.88,0.02
600,0.1,88,12,98,2,0.88,0.02
600,0.15,88,12,98,2,0.88,0.02
600,0.2,88,12,98,2,0.88,0.02
600,0.25,88,12,98,2,0.88,0.02
600,0.3,88,12,98,2,0.88,0.02
600,0.35,88,12,98,2,0.88,0.02
600,0.4,88,12,98,2,0.88,0.02
600,0.45,88,12,98,2,0.88,0.02
1100,0.05,100,0,99,1,1.0,0.01
1100,0.1,100,0,99,1,1.0,0.01
1100,0.15,100,0,99,1,1.0,0.01
1100,0.2,100,0,99,1,1.0,0.01
1100,0.25,100,0,99,1,1.0,0.01
1100,0.3,100,0,99,1,1.0,0.01
1100,0.35,100,0,99,1,1.0,0.01
1100,0.4,100,0,99,1,1.0,0.01
1100,0.45,100,0,99,1,1.0,0.01
1600,0.05,100,0,92,8,1.0,0.08
1600,0.1,100,0,92,8,1.0,0.08
1600,0.15,100,0,92,8,1.0,0.08
1600,0.2,100,0,92,8,1.0,0.08
1600,0.25,100,0,92,8,1.0,0.08
1600,0.3,100,0,92,8,1.0,0.08
1600,0.35,100,0,92,8,1.0,0.08
1600,0.4,100,0,92,8,1.0,0.08
1600,0.45,100,0,92,8,1.0,0.08
2100,0.05,62,38,45,55,0.62,0.55
2100,0.1,62,38,45,55,0.62,0.55
2100,0.15,62,38,45,55,0.62,0.55
2100,0.2,62,38,45,55,0.62,0.55
2100,0.25,62,38,45,55,0.62,0.55
2100,0.3,62,38,45,55,0.62,0.55
2100,0.35,62,38,45,55,0.62,0.55
2100,0.4,62,38,45,55,0.62,0.55
2100,0.45,62,38,45,55,0.62,0.55
2600,0.05,22,78,0,100,0.22,1.0
2600,0.1,22,78,0,100,0.22,1.0
2600,0.15,22,78,0,100,0.22,1.0
2600,0.2,22,78,0,100,0.22,1.0
2600,0.25,22,78,0,100,0.22,1.0
2600,0.3,22,78,0,100,0.22,1.0
2600,0.35,22,78,0,100,0.22,1.0
2600,0.4,22,78,0,100,0.22,1.0
2600,0.45,22,78,0,100,0.22,1.0
3100,0.05,51,49,12,88,0.51,0.88
3100,0.1,51,49,12,88,0.51,0.88
3100,0.15,51,49,12,88,0.51,0.88
3100,0.2,51,49,12,88,0.51,0.88
3100,0.25,51,49,12,88,0.51,0.88
3100,0.3,51,49,12,88,0.51,0.88
3100,0.35,51,49,12,88,0.51,0.88
3100,0.4,51,49,12,88,0.51,0.88
3100,0.45,51,49,12,88,0.51,0.88
3600,0.05,0,100,0,100,0.0,1.0
3600,0.1,0,100,0,100,0.0,1.0
3600,0.15,0,100,0,100,0.0,1.0
3600,0.2,0,100,0,100,0.0,1.0
3600,0.25,0,100,0,100,0.0,1.0
3600,0.3,0,100,0,100,0.0,1.0
3600,0.35,0,100,0,100,0.0,1.0
3600,0.4,0,100,0,100,0.0,1.0
3600,0.45,0,100,0,100,0.0,1.0
4100,0.05,34,66,16,84,0.34,0.84
4100,0.1,34,66,16,84,0.34,0.84
4100,0.15,34,66,16,84,0.34,0.84
4100,0.2,34,66,16,84,0.34,0.84
4100,0.25,34,66,16,84,0.34,0.84
4100,0.3,34,66,16,84,0.34,0.84
4100,0.35,34,66,16,84,0.34,0.84
4100,0.4,34,66,16,84,0.34,0.84
4100,0.45,34,66,16,84,0.34,0.84
4600,0.05,93,7,90,10,0.93,0.1
4600,0.1,93,7,90,10,0.93,0.1
4600,0.15,93,7,90,10,0.93,0.1
4600,0.2,93,7,90,10,0.93,0.1
4600,0.25,93,7,90,10,0.93,0.1
4600,0.3,93,7,90,10,0.93,0.1
4600,0.35,93,7,90,10,0.93,0.1
4600,0.4,93,7,90,10,0.93,0.1
4600,0.45,93,7,90,10,0.93,0.1
5100,0.05,100,0,99,1,1.0,0.01
5100,0.1,100,0,99,1,1.0,0.01
5100,0.15,100,0,99,1,1.0,0.01
5100,0.2,100,0,99,1,1.0,0.01
5100,0.25,100,0,99,1,1.0,0.01
5100,0.3,100,0,99,1,1.0,0.01
5100,0.35,100,0,99,1,1.0,0.01
5100,0.4,100,0,99,1,1.0,0.01
5100,0.45,100,0,99,1,1.0,0.01
5600,0.05,63,37,50,50,0.63,0.5
5600,0.1,63,37,50,50,0.63,0.5
5600,0.15,63,37,50,50,0.63,0.5
5600,0.2,63,37,50,50,0.63,0.5
5600,0.25,63,37,50,50,0.63,0.5
5600,0.3,63,37,50,50,0.63,0.5
5600,0.35,63,37,50,50,0.63,0.5
5600,0.4,63,37,50,50,0.63,0.5
5600,0.45,63,37,50,50,0.63,0.5
6100,0.05,63,37,77,23,0.63,0.23
6100,0.1,63,37,77,23,0.63,0.23
6100,0.15,63,37,77,23,0.63,0.23
6100,0.2,63,37,77,23,0.63,0.23
6100,0.25,63,37,77,23,0.63,0.23
6100,0.3,63,37,77,23,0.63,0.23
6100,0.35,63,37,77,23,0.63,0.23
6100,0.4,63,37,77,23,0.63,0.23
6100,0.45,63,37,77,23,0.63,0.23
6600,0.05,17,83,18,82,0.17,0.82
6600,0.1,17,83,18,82,0.17,0.82
6600,0.15,17,83,18,82,0.17,0.82
6600,0.2,17,83,18,82,0.17,0.82
6600,0.25,17,83,18,82,0.17,0.82
6600,0.3,17,83,18,82,0.17,0.82
6600,0.35,17,83,18,82,0.17,0.82
6600,0.4,17,83,18,82,0.17,0.82
6600,0.45,17,83,18,82,0.17,0.82
7100,0.05,76,24,89,11,0.76,0.11
7100,0.1,76,24,89,11,0.76,0.11
7100,0.15,76,24,89,11,0.76,0.11
7100,0.2,76,24,89,11,0.76,0.11
7100,0.25,76,24,89,11,0.76,0.11
7100,0.3,76,24,89,11,0.76,0.11
7100,0.35,76,24,89,11,0.76,0.11
7100,0.4,76,24,89,11,0.76,0.11
7100,0.45,76,24,89,11,0.76,0.11
7600,0.05,78,22,86,14,0.78,0.14
7600,0.1,78,22,86,14,0.78,0.14
7600,0.15,78,22,86,14,0.78,0.14
7600,0.2,78,22,86,14,0.78,0.14
7600,0.25,78,22,86,14,0.78,0.14
7600,0.3,78,22,86,14,0.78,0.14
7600,0.35,78,22,86,14,0.78,0.14
7600,0.4,78,22,86,14,0.78,0.14
7600,0.45,78,22,86,14,0.78,0.14
8100,0.05,24,76,39,61,0.24,0.61
8100,0.1,24,76,39,61,0.24,0.61
8100,0.15,24,76,39,61,0.24,0.61
8100,0.2,24,76,39,61,0.24,0.61
8100,0.25,24,76,39,61,0.24,0.61
8100,0.3,24,76,39,61,0.24,0.61
8100,0.35,24,76,39,61,0.24,0.61
8100,0.4,24,76,39,61,0.24,0.61
8100,0.45,24,76,39,61,0.24,0.61
8600,0.05,25,75,30,70,0.25,0.7
8600,0.1,25,75,30,70,0.25,0.7
8600,0.15,25,75,30,70,0.25,0.7
8600,0.2,25,75,30,70,0.25,0.7
8600,0.25,25,75,30,70,0.25,0.7
8600,0.3,25,75,30,70,0.25,0.7
8600,0.35,25,75,30,70,0.25,0.7
8600,0.4,25,75,30,70,0.25,0.7
8600,0.45,25,75,30,70,0.25,0.7
9100,0.05,22,78,28,72,0.22,0.72
9100,0.1,22,78,28,72,0.22,0.72
9100,0.15,22,78,28,72,0.22,0.72
9100,0.2,22,78,28,72,0.22,0.72
9100,0.25,22,78,28,72,0.22,0.72
9100,0.3,22,78,28,72,0.22,0.72
9100,0.35,22,78,28,72,0.22,0.72
9100,0.4,22,78,28,72,0.22,0.72
