label,message
ham,Don't forget our meeting on Wednesday at 10:00 AM.
ham,"Hey, are we still on for call tomorrow?"
ham,Don't forget our meeting on Tuesday at 12:00 PM.
ham,Can you send me the report by Thursday?
spam,"Dear customer, you've been selected for a exclusive deal."
ham,Please review the attached document and let me know your thoughts.
ham,Let's catch up over coffee next Thursday.
ham,"Lunch at 6:00 PM works for me, see you then."
ham,Happy birthday! Wish you a wonderful day.
spam,Final notice: your paid subscription is expiring. Renew for 70% off.
ham,Please review the attached document and let me know your thoughts.
spam,Act now to get your free tablet!
ham,Let's catch up over coffee next Monday.
ham,Can you send me the report by Monday?
ham,Don't forget our meeting on Thursday at 3:00 PM.
ham,Don't forget our meeting on Tuesday at 6:00 PM.
spam,"Earn $300 from home easily, join now!"
ham,Please review the attached document and let me know your thoughts.
ham,Thanks for your help with the budget.
spam,Click here to subscribe and receive a free headphones.
ham,"Family dinner is scheduled for Monday, hope you can make it."
spam,Exclusive offer: tablet at 70% discount.
spam,Act now to get your free headphones!
ham,"Lunch at 12:00 PM works for me, see you then."
spam,Final notice: your VPN subscription is expiring. Renew for 90% off.
spam,"Dear customer, you've been selected for a premium subscription."
spam,Click here to subscribe and receive a free ebook.
ham,"Hey, are we still on for lunch tomorrow?"
ham,"Hey, are we still on for coffee meetup tomorrow?"
ham,"Hey, are we still on for call tomorrow?"
spam,Click here to subscribe and receive a free headphones.
spam,Exclusive offer: tablet at 50% discount.
ham,Let's catch up over coffee next Monday.
spam,Click here to subscribe and receive a free headphones.
spam,Click here to subscribe and receive a free smartwatch.
spam,Final notice: your software subscription is expiring. Renew for 90% off.
ham,"Lunch at 10:00 AM works for me, see you then."
ham,Don't forget our meeting on Tuesday at 12:00 PM.
ham,"Lunch at 10:00 AM works for me, see you then."
spam,Act now to get your free headphones!
spam,Exclusive offer: headphones at 70% discount.
spam,You have won a Amazon voucher worth $2000. Act fast!
spam,"Earn $100 from home easily, join now!"
ham,"Lunch at 12:00 PM works for me, see you then."
spam,Limited time promotion: 80% off on all products.
spam,Exclusive offer: tablet at 80% discount.
ham,Happy birthday! Wish you a wonderful day.
ham,Don't forget our meeting on Thursday at 3:00 PM.
spam,Exclusive offer: tablet at 70% discount.
ham,Let's catch up over coffee next Tuesday.
ham,Are you available for a quick call this Monday?
ham,"Family dinner is scheduled for Wednesday, hope you can make it."
spam,Get $300 delivered to your account instantly.
ham,Happy birthday! Wish you a wonderful day.
spam,"Earn $2000 from home easily, join now!"
spam,You have won a brand-new iPhone worth $100. Act fast!
ham,Don't forget our meeting on Friday at 3:00 PM.
spam,Exclusive offer: tablet at 90% discount.
spam,Exclusive offer: ebook at 70% discount.
ham,"Family dinner is scheduled for Monday, hope you can make it."
spam,Final notice: your software subscription is expiring. Renew for 90% off.
spam,Act now to get your free ebook!
ham,"Family dinner is scheduled for Monday, hope you can make it."
spam,Exclusive offer: headphones at 70% discount.
ham,Don't forget our meeting on Friday at 10:00 AM.
ham,Don't forget our meeting on Thursday at 6:00 PM.
ham,"Hey, are we still on for call tomorrow?"
ham,Please review the attached document and let me know your thoughts.
spam,You have won a $1000 gift card worth $300. Act fast!
ham,"Hey, are we still on for call tomorrow?"
spam,You have won a trip to Bahamas worth $2000. Act fast!
spam,"Earn $300 from home easily, join now!"
ham,"Family dinner is scheduled for Monday, hope you can make it."
ham,"Family dinner is scheduled for Friday, hope you can make it."
spam,You have won a trip to Bahamas worth $2000. Act fast!
spam,Congratulations! You've won a $1000 gift card. Click here to claim your reward.
ham,Are you available for a quick call this Wednesday?
spam,Limited time sale: 90% off on all products.
ham,Don't forget our meeting on Monday at 3:00 PM.
spam,Limited time promotion: 70% off on all products.
ham,"Hey, are we still on for lunch tomorrow?"
spam,Click here to subscribe and receive a free ebook.
spam,Exclusive offer: tablet at 80% discount.
spam,Exclusive offer: headphones at 90% discount.
spam,You have won a brand-new iPhone worth $100. Act fast!
ham,"Lunch at 12:00 PM works for me, see you then."
ham,Can you send me the report by Monday?
ham,Thanks for your help with the presentation.
ham,Can you send me the report by Monday?
spam,You have won a $1000 gift card worth $2000. Act fast!
spam,Congratulations! You've won a trip to Bahamas. Click here to claim your reward.
spam,Act now to get your free smartwatch!
ham,"Lunch at 12:00 PM works for me, see you then."
spam,Congratulations! You've won a Amazon voucher. Click here to claim your reward.
ham,Let's catch up over coffee next Tuesday.
spam,Click here to subscribe and receive a free ebook.
ham,Can you send me the report by Wednesday?
spam,Click here to subscribe and receive a free headphones.
spam,"Earn $500 from home easily, join now!"
ham,"Lunch at 10:00 AM works for me, see you then."
ham,Don't forget our meeting on Friday at 3:00 PM.
spam,Act now to get your free headphones!
ham,Don't forget our meeting on Friday at 3:00 PM.
spam,Click here to subscribe and receive a free smartwatch.
ham,Please review the attached document and let me know your thoughts.
ham,Please review the attached document and let me know your thoughts.
ham,"Family dinner is scheduled for Friday, hope you can make it."
ham,Happy birthday! Wish you a wonderful day.
spam,Limited time clearance: 70% off on all products.
ham,"Family dinner is scheduled for Monday, hope you can make it."
ham,Can you send me the report by Thursday?
ham,Let's catch up over coffee next Wednesday.
ham,Are you available for a quick call this Tuesday?
ham,"Hey, are we still on for project review tomorrow?"
spam,Click here to subscribe and receive a free ebook.
spam,Final notice: your streaming subscription is expiring. Renew for 90% off.
spam,Final notice: your software subscription is expiring. Renew for 80% off.
ham,Can you send me the report by Wednesday?
ham,"Lunch at 12:00 PM works for me, see you then."
spam,"Earn $2000 from home easily, join now!"
ham,"Hey, are we still on for coffee meetup tomorrow?"
